source_id,local_path,sha256,bytes
e0_bo_res347_2004_full_annex_contract_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_347_2004_anexo_modelo_fideicomiso.pdf,ea7dd86042808296db63d141a9346757c02a48ace83500517c1f1acc58116764,577492
e0_bo_res347_2004_notice_endpoint_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_347_2004_detalle_aviso_7263053.html,a157a367492bff8a882c569d5e0934ca0b2557bb5d640eb4b6d6f1bb275002e1,116603
e0_bo_res389_2005_full_annex_contract_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_389_2005_anexo_modelo_fideicomiso.pdf,d4bc767e82bbac9ae7fa3d0774610fc4538424b8c1bfee6031144139f78a08d1,5948598
e0_bo_res389_2005_notice_endpoint_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_389_2005_detalle_aviso_7276817.html,5b0341fddf421ea2b078449e15e71c32905ed409ec129b9eca9a92ac7b91c3a4,140607
e0_infoleg_res747_2004_guarantee_addenda_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/infoleg_norma_101253_addendas_fideicomiso.html,4d7579121842124c008d31b08920c2b97b4be6d754d824692bb383f67e3a91d6,12597
e0_agn_res023_2005_fideicomisos_publicos_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res023_2005_fideicomisos_publicos.pdf,dfd7d3ac057f6d4c342b6231f60066d7770d71efff880f25d5b14f1aacf729eb,397340
e0_agn_res160_2006_bid1192_fy2005_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res160_2006_bid1192_ejercicio2005.pdf,8dcdbf05145e3e98b2b1b55bf94057eeb27b444ceacf1452f4fbe81f26ef3d8d,413016
e0_agn_res014_2010_bid1192_fy2008_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res014_2010_bid1192_ejercicio2008.pdf,cc2fafdc076d0fa1cf3788b5231d8f3bc8cffd9f0bb96d116a767b817d24c6d9,538946
e0_agn_res129_2005_endpoint_gap_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res129_2005_current_endpoint_error.html,44512fa8043e54b55d98ca0b5fe6a2b70228cffbc138309edfca5e6ee56f4b2a,253718
e0_agn_res129_2005_api_query_gap_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res129_2005_bid1192.json,47e7348d1fe4ff73f42d34545e806bcf7bfd6a750a10a5ac7bd828a3680a6124,306
e0_wayback_agn_res129_2005_cdx_gap_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/wayback_cdx_agn_2005_129info.json,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,3
e0_agn_api_res023_2005_metadata_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res023_2005.json,88408f0c302193ca0c3f9927275f719b745276d95baf4523d68b3b25cd13d692,11994
e0_agn_api_res160_2006_metadata_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res160_2006.json,543ee0175353228890f6118a84d4999e9f053b639a0ef26d69c1025b1a665a5d,12116
e0_agn_api_res014_2010_metadata_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res014_2010.json,4e4c0c055679108eae09ec80f21d2d4b8e1917bba3457f355eb48d2f687530a1,12114
e0_bid_ar0127_pcr_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bid_ar0127_informe_terminacion_proyecto.pdf,2d95272775dd760eefe091e594be07c72e440cdc5249782628e3ecf72a352e5e,1037832
e0_bid_ar0127_intermediate_evaluation_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bid_ar0127_evaluacion_intermedia.pdf,f5d5244c3b0c14649774eb62aee00f8a15ab899dd9f19852707879375793a873,92690
e0_bid_ar0127_loan_proposal_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bid_ar0127_propuesta_prestamo_407194.pdf,cf16d52f853f07b69ccc4a622a5d83d6d61724cf82e01cef344c1457217bc37c,18400
e0_bcra_a4620_2007_mipymes_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_a4620_2007_mipymes.pdf,8ce2fcf8506ff22467344a733970ad81d3fdf7cb6fecf31842ab3cc4273ba6ba,223821
e0_bcra_b8920_2007_mipymes_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b8920_2007_mipymes.pdf,0d8427265326b1d878bf0c6a716d9ddd48f8de97663ad9ad1bc141feca6fded8,723826
e0_bcra_b8995_2007_rates_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b8995_2007_tasas.pdf,60156bb571e330815349e771319994203b43a0172c8e274f8596c5b8b91b4fe9,71734
e0_bcra_b9055_2007_rates_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b9055_2007_tasas.pdf,e60a68a9a519643a137724172c2dfd2d27e7c7703d95d50cb0c7581aa24139bb,71753
e0_bcra_b9056_2007_suspension_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b9056_2007_suspension.pdf,475c1cd5f3d7f34e1f3e8519af43a48770f84a3b481a4efbce6fa3d9508f4e0b,71641
e0_bcra_b9123_2007_rates_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b9123_2007_tasas.pdf,e0c5a4467dbae389d99e911d708b1deb54fbe7a497e1d3d62cd3b9308b502560,71747
e0_bcra_ordered_text_mipymes_comparator_v180,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_texto_ordenado_programa_credito_mipymes.pdf,ec4cb243a456610f6b8ce0ea2d178ebba01e6e613598f37bca4e284230c07bb0,321037
