source_id,local_path,sha256,bytes
e0_cgn_account2011_bid1192_fondyf_trace_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/cgn_cuenta_inversion_2011_separata.pdf,076932f6356fbcd1c0bea495791d43bd45d61b9340df1e17d3704fd70c2c6807,3745829
e0_cgn_account2012_bid1192_fondyf_trace_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/cgn_cuenta_inversion_2012_separata.pdf,fb3f779356f8a8ec87e952a68fededfb818d5290cad39cf94a598a3135ad4c0c,5253124
e0_cgn_account2013_bid1192_fondyf_trace_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/cgn_cuenta_inversion_2013_separata.pdf,229fa20f1f513f87f2b234b74537afa92cf5b3df7f05382231bf68cd34034c6a,1287636
e0_cgn_account2014_bid1192_fondyf_trace_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/cgn_cuenta_inversion_2014_separata.pdf,803daf3a8910f84e98e56614c3d6a3b0c4061fdd5033fa9fe2d8864a7267d15e,1348562
e0_cgn_account2015_bid1192_fondyf_trace_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/cgn_cuenta_inversion_2015_separata.pdf,9d62211892ce99dc479a9b3f0d0d9f2f1533e5f5337408e8480564f7d12ce3d5,1377986
e0_cgn_account2016_bid1192_fondyf_trace_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/cgn_cuenta_inversion_2016_separata.pdf,b4f621497ef71c289cacfbb784a08034000048ddf863226fa7a021a29e7eff28,3239008
e0_norm_res148_2005_mypesii_addendum_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/resolucion_148_2005_addenda_fideicomiso_mypes_ii.html,edf9b9a63da099bbaff49a5ca0a50a0c64814e4792cb696f010298ce5da21903,43306
e0_norm_res967_2006_mypesii_trust_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/resolucion_967_2006_fideicomiso_mypes_ii.html,e1556e309e52b8c5de5a38a57248be37f5c750dbd2d679774ef559057d37ee49,43302
e0_norm_decree1273_2012_fondyf_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/decreto_1273_2012_fondyf_actualizado.html,26c29c6165fb266b5c3d8f9944462da7c75222310c65ce3509ba5c8903c2820f,49948
e0_norm_res206_2012_fondyf_collaboration_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/resolucion_206_2012_convenio_colaboracion_fondyf.html,3615c28788addb5bb134afd9cf38a1768f059e1a1d8a72d2c3814f4f4c0ad6fd,50364
e0_norm_res48_2013_fondyf_bna_admin_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/resolucion_48_2013_convenio_administracion_bna_fondyf.html,90f427c41f2381ed9a50486780f6efcff52c939dcb8885291c51fa5bd0d6805a,67281
e0_norm_res4_2016_fondyf_assignment_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/resolucion_4_2016_asignacion_fondyf.html,e2d769085ba4f218f350c71ed6114cc5128d9b8c7a391b4e31361e471ca33c3f,45038
e0_norm_decree400_2019_fondyf_reform_v178,/research/ciclo_ajuste/inputs/historical_retrieval/v178/binaries/decreto_400_2019_reforma_fondyf.html,fbb18087ae54c45db3fd66f19ef89b81e3b1ade0fdedabeab30557f1c634a36e,41932
