row_id,system_layer,observable,system_rule,target_test,proof_value,source_id,locator,caveat
BR139_01,Tesorería SLU,medios de pago,"CUT, cuentas propias, efectivo, Nota, valores o compensación",identificar medio efectivo,MECHANISM_ENUMERATION,e0_dgsiaf_slu_system_description_v3,PDF p.107; doc p.104,"Diseño funcional, no fila target."
BR139_02,Tesorería SLU,selección y confirmación,la selección antecede la confirmación del pago,recuperar estados/fechas,PHASE_SEPARATION,e0_dgsiaf_slu_system_description_v3,PDF p.107; doc p.104,Confirmación de sistema no equivale por sí sola a conciliación bancaria.
BR139_03,Conciliación bancaria,extracto bancario o escrito,se compara con Libro Banco SLU,cruzar ambas caras,TWO_SIDED_RECONCILIATION,e0_dgsiaf_slu_system_description_v3,PDF p.113; doc p.110,El manual no contiene extractos 2008.
BR139_04,Conciliación bancaria,aplicaciones y comprobantes,se generan cuando corresponde,pedir comprobante asociado,SUPPORTING_VOUCHER_SIGNATURE,e0_dgsiaf_slu_system_description_v3,PDF p.113; doc p.110,La existencia depende del caso.
BR139_05,Cuenta operativa,extracto interno,SLU mantiene cuenta y extracto interno,pedir movimiento interno,INTERNAL_LEDGER_SIGNATURE,e0_dgsiaf_slu_system_description_v3,PDF p.113; doc p.110,No acredita conservación del target.
BR139_06,Cuenta bancaria,BNA,las cuentas operativas pueden ser del Banco Nación,filtrar banco/cuenta,BANK_MATCH_CAPABILITY,e0_dgsiaf_slu_system_description_v3,PDF p.113; doc p.110,No identifica la cuenta concreta.
BR139_07,Extracto interno,comisiones bancarias,todo movimiento de fondos se registra por transacción o conciliación automática; ejemplo expreso: comisiones bancarias,buscar movimiento automático de 32270.30 o partes,LEADING_C55_MECHANISM_COMPARATOR,e0_dgsiaf_slu_system_description_v3,PDF p.114; doc p.111,Mecanismo compatible; no clasifica los tres SIDIF.
BR139_08,Extracto externo,carga bancaria,se cargan extractos bancarios o escritos,pedir lote/fecha/saldo,EXTERNAL_EXTRACT_SIGNATURE,e0_dgsiaf_slu_system_description_v3,PDF p.114; doc p.111,Carga posible no prueba que el archivo subsista.
BR139_09,TGN,débitos por pago,"cheques, notas y órdenes bancarias se separan del débito/crédito automático BNA",clasificar origen del movimiento,PAYMENT_VS_AUTOMATIC_DEBIT_SPLIT,e0_dgsiaf_slu_system_description_v3,PDF p.115; doc p.112,"Diagrama funcional, no cronología target."
BR139_10,Cierre probatorio,firma completa,tipo + formulario + movimiento interno + extracto externo + conciliación,exigir cadena y estados,EXECUTION_CLOSE_TEST,e0_dgsiaf_slu_system_description_v3;e0_dgsiaf_slu_global_regularization_2004;e0_dgsiaf_slu_bank_reconciliation_reports_2002,esquema combinado,"Sin fila target, el numerador sigue 0/10."
